345.22	36.393
345.43	36.393
345.65	36.393
345.86	42.267
346.08	129.867
346.29	11.618
346.51	31.141
346.72	37.121
346.94	-145.641
347.15	-72.921
347.37	135.210
347.58	169.913
347.80	197.853
348.01	172.036
348.23	120.118
348.44	111.562
348.66	103.343
348.87	104.593
349.09	99.060
349.30	89.411
349.52	83.901
349.73	87.681
349.95	88.218
350.16	90.124
350.38	87.097
350.59	81.148
350.81	80.241
351.02	78.534
351.24	77.616
351.45	76.678
351.67	78.830
351.88	77.874
352.10	74.321
352.31	73.884
352.53	77.284
352.74	79.040
352.96	79.838
353.17	78.679
353.39	79.861
353.60	82.305
353.82	83.349
354.03	83.576
354.25	78.689
354.46	73.781
354.67	70.443
354.89	68.313
355.10	72.025
355.32	70.811
355.53	72.650
355.75	74.487
355.96	75.898
356.18	75.747
356.39	75.425
356.61	79.205
356.82	78.216
357.04	74.658
357.25	74.454
357.46	74.189
357.68	74.368
357.89	73.003
358.11	71.263
358.32	74.129
358.54	72.153
358.75	73.780
358.97	75.497
359.18	78.891
359.40	78.913
359.61	79.170
359.82	80.718
360.04	80.178
360.25	78.319
360.47	74.440
360.68	73.702
360.90	74.106
361.11	72.200
361.32	72.503
361.54	75.974
361.75	75.935
361.97	77.405
362.18	78.114
362.40	79.240
362.61	80.536
362.83	80.190
363.04	81.385
363.25	82.383
363.47	83.732
363.68	81.205
363.90	84.766
364.11	84.916
364.32	84.831
364.54	83.554
364.75	80.667
364.97	84.346
365.18	83.385
365.40	81.494
365.61	80.846
365.82	81.625
366.04	80.826
366.25	80.416
366.47	78.328
366.68	77.000
366.89	77.878
367.11	75.710
367.32	76.038
367.54	73.493
367.75	73.234
367.96	72.386
368.18	73.352
368.39	72.389
368.61	72.652
368.82	73.906
369.03	75.966
369.25	79.641
369.46	80.557
369.68	81.421
369.89	82.500
370.10	83.234
370.32	83.119
370.53	82.431
370.75	78.884
370.96	80.772
371.17	81.384
371.39	79.268
371.60	79.519
371.81	80.141
372.03	82.539
372.24	83.124
372.46	86.194
372.67	87.094
372.88	85.610
373.10	85.261
373.31	83.720
373.52	83.376
373.74	81.592
373.95	80.712
374.17	81.515
374.38	83.614
